id,start_date,mean,num_list_users,nsfw,media_type,num_episodes,rating,title,prequel,related,genre1,genre2,genre3,genre4,genre5,picture,main_genre,main_anime,best_anime
34572,2017-10-03,8.14,1679334,white,tv,170,pg_13,Black Clover,False,33950 38768 39864 40031 48585,Action,Comedy,Fantasy,Shounen,,https://cdn.myanimelist.net/images/anime/2/88336l.jpg,Action,34572,34572
11111,2012-01-10,7.47,1673887,white,tv,12,r,Another,True,11701 20365,Gore,Horror,Mystery,School,Supernatural,https://cdn.myanimelist.net/images/anime/4/75509l.jpg,Mystery,11111,11111
14719,2012-10-06,7.88,1673633,white,tv,26,r,JoJo's Bizarre Adventure (2012),False,3603 20899,Action,Adventure,Historical,Shounen,Supernatural,https://cdn.myanimelist.net/images/anime/3/40409l.webp,Action,14719,37991
35849,2018-01-13,7.2,1656040,white,tv,24,pg_13,DARLING in the FRANXX,False,,Action,Drama,Mecha,Romance,Sci-Fi,https://cdn.myanimelist.net/images/anime/1614/90408l.webp,Action,35849,35849
28171,2015-04-04,8.14,1649538,white,tv,24,pg_13,Food Wars! Shokugeki no Soma,False,31327 32282,Ecchi,Gourmet,School,Shounen,,https://cdn.myanimelist.net/images/anime/3/72943l.webp,Other,28171,28171
13601,2012-10-12,8.33,1640379,white,tv,22,r,Psycho-Pass,False,17901 23281 52747,Action,Adult Cast,Detective,Mystery,Psychological,https://cdn.myanimelist.net/images/anime/1314/142015l.webp,Action,13601,13601
3588,2008-04-07,7.84,1634745,white,tv,51,pg_13,Soul Eater,False,21195 21507,Action,Comedy,Fantasy,School,Shounen,https://cdn.myanimelist.net/images/anime/9/7804l.webp,Action,3588,3588
2001,2007-04-01,8.63,1619453,white,tv,27,pg_13,Gurren Lagann,False,3352 4107 4565 4705 5947 6548 8348 10622,Action,Adventure,Award Winning,Mecha,Sci-Fi,https://cdn.myanimelist.net/images/anime/4/5123l.jpg,Action,2001,2001
28999,2015-07-05,7.75,1619090,white,tv,13,pg_13,Charlotte,False,31553,Drama,School,Super Power,,,https://cdn.myanimelist.net/images/anime/12/74683l.jpg,Drama,28999,28999
9989,2011-04-15,8.3,1612711,white,tv,11,pg_13,Anohana: The Flower We Saw That Day,False,15039 31165 38963 39569,Drama,Supernatural,,,,https://cdn.myanimelist.net/images/anime/5/79697l.webp,Drama,9989,9989
29803,2015-07-07,7.91,1603687,white,tv,13,r,Overlord,False,31138 33372 34161 34428 35073 36497 36683 37264 38472 38693 39988 41567,Action,Adventure,Fantasy,Isekai,,https://cdn.myanimelist.net/images/anime/7/88019l.jpg,Isekai,29803,48895
35790,2019-01-09,7.95,1599278,white,tv,25,pg_13,The Rising of the Shield Hero,False,39988 40356 41567,Action,Adventure,Drama,Fantasy,Isekai,https://cdn.myanimelist.net/images/anime/1490/101365l.webp,Isekai,35790,35790
50265,2022-04-09,8.52,1575090,white,tv,12,pg_13,Spy x Family,False,50602 53270,Action,Award Winning,Childcare,Comedy,Shounen,https://cdn.myanimelist.net/images/anime/1441/122795l.jpg,Action,50265,50265
15809,2013-04-04,7.73,1569646,white,tv,13,pg_13,The Devil is a Part-Timer!,False,48413 57453,Comedy,Fantasy,Mythology,Workplace,,https://cdn.myanimelist.net/images/anime/3/50177l.jpg,Comedy,15809,15809
40456,2020-10-16,8.58,1553638,white,movie,1,r,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,True,38000 47778 49926,Action,Fantasy,Historical,Shounen,,https://cdn.myanimelist.net/images/anime/1704/106947l.webp,Action,38000,47778
37510,2019-01-07,8.79,1542136,white,tv,13,pg_13,Mob Psycho 100 II,True,32182 39651 50172,Action,Comedy,Super Power,Supernatural,,https://cdn.myanimelist.net/images/anime/1918/96303l.webp,Action,32182,37510
44511,2022-10-12,8.5,1538431,white,tv,12,r,Chainsaw Man,False,53405 53581 53640 53641 54026 57555,Action,Fantasy,Gore,Shounen,,https://cdn.myanimelist.net/images/anime/1806/126216l.jpg,Action,44511,44511
28121,2015-04-04,7.54,1532765,white,tv,13,pg_13,Is It Wrong to Try to Pick Up Girls in a Dungeon?,False,32801 32887 37347 37348 40064 52357,Action,Adventure,Fantasy,,,https://cdn.myanimelist.net/images/anime/2/70187l.jpg,Action,28121,53111
37521,2019-07-08,8.75,1532066,white,tv,24,r,Vinland Saga,False,31647 49387,Action,Adventure,Drama,Gore,Historical,https://cdn.myanimelist.net/images/anime/1500/103005l.jpg,Action,37521,49387
32937,2017-01-12,8.25,1524115,white,tv,10,pg_13,KonoSuba: God's Blessing on This Wonderful World! 2,True,30831 34626 38040,Adventure,Comedy,Fantasy,Isekai,Parody,https://cdn.myanimelist.net/images/anime/2/83188l.jpg,Isekai,30831,49458
226,2004-07-25,7.47,1519880,white,tv,13,r+,Elfen Lied,False,376,Action,Drama,Gore,Horror,Psychological,https://cdn.myanimelist.net/images/anime/1780/121555l.webp,Action,226,226
8074,2010-07-05,7.07,1515249,white,tv,12,r+,High School of the Dead,False,9515,Action,Ecchi,Gore,Horror,Shounen,https://cdn.myanimelist.net/images/anime/11/78311l.jpg,Action,8074,8074
10087,2011-10-02,8.27,1507178,white,tv,13,r,Fate/Zero,False,11741 13183 13263 19165 38936 38959,Action,Fantasy,Supernatural,,,https://cdn.myanimelist.net/images/anime/1887/117644l.jpg,Action,10087,33050
34933,2017-07-01,7.23,1494674,white,tv,12,r,Kakegurui,False,37086 38939 50339,Drama,High Stakes Game,Mystery,Psychological,School,https://cdn.myanimelist.net/images/anime/3/86578l.webp,Drama,34933,34933
121,2003-10-04,8.11,1476255,white,tv,51,r,Fullmetal Alchemist,False,430 664 908 5114,Action,Adventure,Award Winning,Drama,Fantasy,https://cdn.myanimelist.net/images/anime/10/75815l.jpg,Action,5114,5114
30503,2015-10-03,8.15,1461680,white,tv,13,pg_13,Noragami Aragoto,True,20507 30885 32468,Action,Fantasy,Mythology,Shounen,,https://cdn.myanimelist.net/images/anime/1689/94850l.webp,Action,20507,30503
